variable,n,mean,median,min,max
pm25_mean,621,7.176405380488438,7.271447333333334,1.1901114444444445,15.088114916666669
median_income,3221,62326.868053399565,60461,14525,170463
population,3222,103777.14928615767,25910,50,9936690
manufacturing_share,3222,12.121609889243471,11.092481001234928,0,57.049891540130155
RUCC_2023,3222,5.177219118559901,6,1,9
urban_flag,3222,0.3885785226567349,0,0,1
total_emp,3222,49656.90068280571,10919,36,4869620
manuf_emp,3222,4957.815952824332,1393.5,0,425706
